taxonID	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
36696	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Hyphomonadaceae;g_Ponticaulis;s_Ponticaulis sp002723155
36855	72	0	0	0	0	0	0	148	0	0	0	2293	28	0	76	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium cellulitidis
37065	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp002298075
37440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio;s_Vibrio sp002342685
37461	0	0	0	0	0	0	0	0	0	41	0	75	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium sp002354335
37476	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_CAG-485;s_CAG-485 sp002361155
37557	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax;s_Acidovorax delafieldii A
37558	182	0	311	0	0	0	298	75	0	0	133	0	0	0	439	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Psychrobacter;s_Psychrobacter sp002377905
37723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Lentimicrobiaceae;g_Lentimicrobium;s_Lentimicrobium sp002410555
37996	31	0	0	0	0	0	0	0	0	0	0	0	244	0	1473	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas sp002471015
37997	0	0	0	0	0	0	0	1320	0	0	800	0	1343	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp002471185
38054	0	0	0	0	0	0	0	0	0	0	0	1128	0	0	235	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002484265
38063	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_CAG-873;s_CAG-873 sp002490635
